n,i,algo1,algo2,algoR,algo4
4,269,2799,1524,2675,1359,
4,270,2646,1849,2803,1419,
4,271,6495,1758,2844,1326,
4,272,2858,1797,2855,1338,
4,273,2985,1727,2796,1321,
4,274,2770,1782,2760,1211,
4,275,3132,1935,2837,1573,
4,276,2753,1571,2621,1545,
4,277,3055,1685,3068,1314,
4,278,2739,1907,2485,1266,
4,279,2745,1761,2680,1243,
4,280,2617,1602,2804,1440,
4,281,2956,1673,2801,1360,
4,282,2781,1346,2467,993,
4,283,2046,1507,2116,1122,
4,284,2422,1533,2566,1249,
4,285,2675,1516,2715,1323,
4,286,2991,1515,2681,1270,
4,287,2631,1659,5429,1260,
4,288,2607,1651,2769,1348,
4,289,2778,1699,2887,1263,
4,290,2758,1697,2627,1236,
4,291,2807,1433,2669,1022,
4,292,2559,19008,2971,1330,
4,293,2870,1893,2696,1356,
4,294,2977,1626,2651,1270,
4,295,2731,1545,2347,1027,
4,296,2283,1364,2228,1020,
4,297,2295,1361,2284,1036,
4,298,2194,1474,2491,1167,
4,299,2519,1540,2614,1310,
4,300,2506,1600,2269,1249,
4,301,6051,1815,2504,1257,
4,302,2721,1684,2715,1294,
4,303,2530,1613,2638,1235,
4,304,2480,1644,2423,1278,
4,305,2375,1530,2455,1219,
4,306,2443,1473,3664,1676,
4,307,3074,1791,2811,1395,
4,308,2955,1672,2686,1334,
4,309,2990,1479,2653,1301,
4,310,2786,1721,2622,1307,
4,311,2774,1672,2668,1283,
4,312,2398,1541,2515,1298,
4,313,2743,1675,2576,1345,
4,314,2561,1638,2534,1335,
4,315,2682,1475,2474,1052,
4,316,2574,1704,2717,1156,
4,317,2477,1730,2708,1242,
4,318,2715,1455,2472,1172,
4,319,2812,1306,2364,1563,
4,320,2835,1542,2842,1307,
4,321,2390,1496,2713,1316,
4,322,2639,1681,2325,1095,
4,323,2830,1335,2390,1132,
4,324,2853,1460,2580,1294,
4,325,2700,1381,2636,1127,
4,326,2205,1375,2408,1030,
4,327,2168,1159,2353,764,
4,328,2263,1262,2160,745,
4,329,2279,1433,45126,1590,
4,330,2919,1725,2778,1219,
4,331,35387,2187,3879,1799,
4,332,2902,1642,2640,1406,
4,333,2679,1665,2804,1314,
4,334,2578,1671,2641,1404,
4,335,2608,1449,6801,1483,
4,336,2488,1354,1112,1144,
4,337,2622,1306,995,1176,
4,338,4649,1365,928,1160,
4,339,2564,1496,861,1110,
4,340,2576,1217,790,1045,
4,341,2510,1154,823,970,
4,342,2050,1174,701,1081,
4,343,2045,1228,729,1077,
4,344,1959,1135,777,965,
4,345,2225,1089,688,1083,
4,346,1954,1351,649,1002,
4,347,1966,1177,801,985,
4,348,2096,1546,703,1206,
4,349,2380,1406,735,1132,
4,350,2361,1455,932,1040,
4,351,2089,1424,746,1020,
4,352,2452,1397,762,1073,
4,353,2267,1225,827,1025,
4,354,2199,1370,933,1213,
4,355,2160,1440,837,1091,
4,356,2252,1271,798,854,
4,357,2182,1300,788,1124,
4,358,2400,1520,761,1018,
4,359,2601,1634,834,1085,
4,360,2524,1579,840,1115,
4,361,10658,1242,799,797,
4,362,2237,1224,800,978,
4,363,2274,1287,703,989,
4,364,2225,1186,708,1025,
4,365,2157,4282,2047,1235,
4,366,2178,1488,807,1120,
4,367,2245,1405,811,1246,
4,368,2243,1404,816,1200,
4,369,1211,1602,754,1173,
4,370,846,1311,722,1139,
